address,suburb,latitude,longitude,charger_name
"Portsea Hotel, 3746 Point Nepean Road, PORTSEA VIC 3944",Port Phillip,-38.31956348,144.71461705,Portsea
"Piedimonte's Supermarket - 37/49A Best St, Fitzroy North VIC 3068",Port Phillip,-37.783447,144.98337,Fitzroy North
"9-29 Bromfield Street, COLAC VIC 3250",Barwon South West,-38.34053226,143.58567897,Colac
"80 River St Parking Lot, HEALESVILLE VIC 3777",Port Phillip,-37.65321089,145.51560956,Healesville
"29 Henty Street, PORTLAND VIC 3305",Barwon South West,-38.34646,141.60165,Portland
"5 Bank Street, PORT FAIRY VIC 3284",Barwon South West,-38.3838,142.23847,Port Fairy
"Early Street Carpark, MANSFIELD VIC 3722",Hume,-37.050841,146.086749,Mansfield
"Target Carpark - 29 Edward Street, BENDIGO VIC 3550",Loddon Mallee,-36.7635,144.27932,Bendigo
"Rosebud RSL Car Park, 113-123 Eastbourne Road, ROSEBUD VIC 3939",Port Phillip,-38.36804386,144.90477381,Rosebud
"Peter Scullin Reserve, MORDIALLOC VIC 3195",Port Phillip,-38.00842473,145.08457112,Mordialloc
"Hepburn Mineral Springs Reserve, HEPBURN SPRINGS VIC 3461",Grampians,-37.31135182,144.14269197,Hepburn Springs
"Creswick Information Centre, 41/43 Albert Street, CRESWICK VIC 3363",Grampians,-37.42232446,143.89439912,Creswick
"16A Windham Street, YACKANDANDAH VIC 3739",Hume,-36.31379577,146.83871195,Yackandandah
"63 Chapel St, COWES VIC 3922",Gippsland,-38.45053,145.240412,Cowes
"Hawthorn Aquatic and Leisure Centre, 1 Grace St, HAWTHORN VIC 3122",Port Phillip,-37.821098,145.035004,Hawthorn
"142 Mulberry Drive, TABILK VIC 3608",Hume,-36.827175,145.086375,Tabilk
8-10 Webster Street ALEXANDRA VIC 3714,Hume,-37.191984,145.711134,Alexandra
"15 Collings St, ARARAT VIC 3377",Grampians,-37.28189448,142.92971491,Ararat
"9 Francis Street, BAIRNSDALE VIC 3875",Gippsland,-37.82365165,147.62959413,Bairnsdale
"Number One Carpark, 19 Willoby St, Beaufort VIC 3373",Grampians,-37.42879917,143.38302026,Beaufort
"Loch Street Car Park, 26 Loch Street, BEECHWORTH VIC 3747",Hume,-36.3581827,146.68702361,Beechworth
"Reynolds Lane, BELGRAVE VIC 3160",Port Phillip,-37.90827979,145.35348274,Belgrave
"Denny Street Car Park, Denny Street, BENALLA VIC 3672",Hume,-36.55063729,145.98409324,Benalla
"24 Wills Street, BRIGHT VIC 3741",Hume,-36.72911524,146.96221097,Bright
"79 Main Street, BRUTHEN VIC 3885",Gippsland,-37.708246,147.834395,Bruthen
"2 Bath Street, CAMPERDOWN VIC 3260",Barwon South West,-38.2303752,143.14585096,Camperdown
"19 Hanson Street, CORRYONG VIC 3707",Hume,-36.19561488,147.90632646,Corryong
"73 Greenham Street, DARTMOOR VIC 3304",Barwon South West,-37.92223914,141.27620469,Dartmoor
"83 Wills Street, DUNKELD VIC 3294",Barwon South West,-37.65057842,142.34282892,Dunkeld
"12 Anzac Avenue, EDENHOPE VIC 3318",Grampians,-37.03671332,141.29654931,Edenhope
"33 Cook St, Flinders VIC 3929",Port Phillip,-38.47447131,145.0188104,Flinders
"Hamilton & Grampians Visitor Information Centre, 86 Hamilton Place HAMILTON VIC 3300",Barwon South West,-37.742503,142.020573,Hamilton
"34 King Street, HASTINGS VIC 3915",Port Phillip,-38.30799985,145.19192568,Hastings
"13 Madden Street N, KANIVA VIC 3419",Grampians,-36.3778351,141.2383918,Kaniva
"38 Dalmore Drive, SCORESBY VIC 3179",Port Phillip,-37.91258232,145.21869896,Scoresby
"6 Baynton Street, KYNETON VIC 3444",Loddon Mallee,-37.24900241,144.45216565,Kyneton
"2 Marine Parade, LAKES ENTRANCE VIC 3909",Gippsland,-37.88237508,147.97339408,Lakes Entrance
"4 The Crescent, LANCEFIELD VIC 3435",Loddon Mallee,-37.27748273,144.73502968,Lancefield
"Smith Street Roadside Parking, MACEDON VIC 3440",Loddon Mallee,-37.42330258,144.56252778,Macedon
"4 Purdy Lane, MAFFRA VIC 3860",Gippsland,-37.96724773,146.97484217,Maffra
"12 Wallace Street, Meredith VIC 3333",Grampians,-37.84428082,144.0767955,Meredith
"60-76 Pine Avenue, MILDURA VIC 3500",Loddon Mallee,-34.18359286,142.1584515,Mildura
"332 High Street, NAGAMBIE VIC 3608",Hume,-36.78407156,145.15436424,Nagambie
"3 Raymond Street, PAYNESVILLE VIC 3880",Gippsland,-37.91912927,147.7230338,Paynesville
"Bellevue Parade Car Park, Rosanna, VIC, 3084",Port Phillip,-37.742522,145.064388,Rosanna
"9 Walker Street, ST ARNAUD VIC 3477",Grampians,-36.61459,143.25763,St Arnaud
"24 Sloane Street, STAWELL VIC 3380",Grampians,-37.05688991,142.78116253,Stawell
"2 Walker Street, TORQUAY VIC 3228",Barwon South West,-38.33122194,144.3249256,Torquay
"49 Breed Street, TRARALGON VIC 3844",Gippsland,-38.19566665,146.53296101,Traralgon
"65 High Street, WALLAN VIC 3756",Hume,-37.413842,144.979171,Wallan
"2-6 Docker Street, WANGARATTA VIC 3677",Hume,-36.35499491,146.32244245,Wangaratta
"18 Woolcock Street, WARRACKNABEAL VIC 3393",Grampians,-36.25068331,142.39394073,Warracknabeal
"Acacia Car Park Public Toilet, Lot 2 High Street, WODONGA VIC 3690",Hume,-36.12168259,146.88663124,Wodonga
"12 Hovell Street, YARRAWONGA VIC 3730",Hume,-36.01003228,146.00323609,Yarrawonga
"Yarra Junction Reserve East, 1 Park Road, YARRA JUNCTION, VIC 3797",Port Phillip,-37.780951,145.613107,Yarra Junction
"113 High Street, BROADFORD VIC 3658",Hume,-37.203,145.04897,Broadford
"67 Lascelles St, HOPETOUN VIC 3396",Grampians,-35.726807,142.364256,Hopetoun
"66 McCartin Street, LEONGATHA VIC 3953",Gippsland,-38.477628,145.943608,Leongatha
"7 Mine Rd, KORUMBURRA VIC 3950",Gippsland,-38.434162,145.825097,Korumburra
"2 Foster Road, FISH CREEK VIC 3959",Gippsland,-38.693699,146.084281,Fish Creek
"113 Murray St, RUTHERGLEN VIC 3685",Hume,36.054549,146.458643,Rutherglen
"14 Pascoe Street, Apollo Bay VIC 3233",Barwon South West,-38.758015,143.66911,Apollo Bay
"3-7 Reed St, Murrayville VIC 3512",Loddon Mallee,-35.263623,141.183094,Murrayville
"3 Crawford St, Chiltern VIC 3683",Hume,-36.149332,146.610632,Chiltern
"Casey Recreation and Aquatic Centre - 65 Berwick-Cranbourne Rd, Cranbourne East, VIC 3977",Port Phillip,-38.111762,145.294761,Cranbourne East
"66 High Street, TRENTHAM VIC 3458",Grampians,-37.389207,144.325248,Trentham
"238A Warrigal Rd, Camberwell VIC 3146",Port Phillip,-37.84981,145.095568,Camberwell
"Richmond Library - 415 Church St, Richmond VIC 3121",Port Phillip,-37.825198,144.998666,Richmond
"Lorne Visitor Information Centre, 15 Mountjoy Parade, LORNE VIC 3232",Barwon South West,-38.53662282,143.97398396,Lorne
"Melbourne City Football Club - 369 Casey Fields Blvd, Cranbourne East VIC 3977",Port Phillip,-38.12339,145.310282,Cranbourne East
"368 Forest Rd, The Basin VIC 3154",Port Phillip,-37.856136,145.315238,The Basin
"Novotel Melbourne Preston - 215 Bell Street, Preston",Port Phillip,-37.746026,145.008211,Preston
"Wilson Parking - Federation Square - Russell St Ext, Melbourne VIC 3000",Port Phillip,-37.817892,144.971265,Melbourne City
"Melbourne Sports and Recreation Centre - 375 Albert Rd, Albert Park VIC 3206",Port Phillip,-37.844604,144.96197,Albert Park
"Freccia Azzurra Club - 784-796 Springvale Rd, Braeside VIC 3195",Port Phillip,-38.000874,145.141363,Braeside
"Grantville Transaction Centre, 1504-1510 Bass Highway, GRANTVILLE VIC 3984",Gippsland,-38.40694709,145.53011609,Grantville
"Newhaven Visitor Centre, 895 Phillip Island Road, NEWHAVEN VIC 3925",Gippsland,-38.51501587,145.3477915,Newhaven
"29 High St, Bannockburn VIC 3331",Barwon South West,-38.047304,144.170663,Bannockburn
"12 Mechanics Street, LAKES ENTRANCE VIC 3909",Gippsland,-37.880482,147.985919,Lakes Entrance
"Yarram District Hub, 156 Grant Street, YARRAM VIC 3971",Gippsland,-38.564517,146.674722,Yarram
"Bunurong Environment Centre - 3 Ramsey Boulevard, INVERLOCH VIC 3996",Gippsland,-38.634808,145.728857,Inverloch
"Wonthaggi Arts Space, 1 Bent Street, WONTHAGGI VIC 3995",Gippsland,-38.60364272,145.59365446,Wonthaggi
"1 Great Ocean Road, Jan Juc, VIC 3228",Barwon South West,-38.34038,144.310827,RACV Torquay Resort
"970 Nepean Hwy, Moorabbin VIC 3198",Port Phillip,-37.939276,145.037624,Moorabbin Homemaker Centre
"30 Howitt Avenue, Eastwood, VIC 3875",Gippsland,-37.811845,147.63119,Eastwood Village Shopping Centre
"80 Harvester Rd, Sunshine VIC 3020",Port Phillip,-37.781743,144.830859,Sunshine Marketplace
"Yackandandah Sports Park Complex, Yackandandah VIC 3749",Hume,-36.317291,146.836298,Yackandandah Sports Park
