LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_,longitude,latitude
Mooroopna,Hume,,-36.3948694,,"77 Mclennan St, MOOROOPNA VIC 3629",1 x CHAdeMO and 1 x CCS2/SAE,145.35991594,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/342214,1.0,145.35991594000006,-36.39486939999995
Shepparton,Hume,,-36.38037879,,"8 Fraser St, SHEPPARTON VIC 3630",1 x CHAdeMO and 1 x CCS2/SAE,145.40025533,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/342216,1.0,145.40025533000005,-36.38037878999995
Castlemaine,Loddon Mallee,,-37.06671023,,"33 Forest St, CASTLEMAINE VIC 3450",1 x CHAdeMO and 1 x CCS2/SAE,144.21778843,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/334760,1.0,144.21778843000004,-37.066710229999956
Kyneton,Loddon Mallee,,-37.24694181,,"1 Hutton St, KYNETON VIC 3444",1 x CHAdeMO and 1 x CCS2/SAE,144.45261659,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/337323,1.0,144.45261659000005,-37.24694180999995
Malvern,Port Phillip,City of Stonnington,-37.85574811,20/03/2023,"290 Glenferrie Road, MALVERN VIC 3144","1 x CCS2, 1 x CHAdeMO",145.02963594,1 x 50kW Fast Charger,"Park, Playground, Dining, Shopping, Accommodation, Supermarket, Public Toilets",NO,Stonnington City Council,https://www.plugshare.com/location/537305,1.0,145.02963594000005,-37.85574810999998
Broadford,Hume,Mitchell Shire Council,-37.20273946,,"Civic Centre, 113 High Street, BROADFORD VIC 3658","1 x CCS2, 1 x CHAdeMO",145.04862505,1 x 25kW Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket",,,,1.0,145.04862505000006,-37.202739459999975
Kilmore,Hume,Mitchell Shire Council,-37.2940459,,"Kilmore Library, 12 Sydney Street, KILMORE VIC 3764","1 x CCS2, 1 x CHAdeMO",144.95207431,1 x 25kW Charger,"Park, Playground, Public Toilets, Shopping, Dining, Accommodation, Supermarket",NO,Mitchell Shire Council,https://www.plugshare.com/location/470792,1.0,144.95207431000006,-37.29404589999996
Yarra Glen,Port Phillip,Yarra Glenergy,-37.65561797,,"McKenzie Reserve, Melba Highway, YARRA GLEN VIC 3775","1 x CCS2, 1 x CHAdeMO",145.37291238,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/473256,1.0,145.37291238000012,-37.65561796999998
Moorabbin,Port Phillip,Morris Moor Pty Ltd,-37.94125806,,"Business and Hospitality precinct, 254-248 Chesterville Road, MOORABBIN VIC 3189",3 x Type 2,145.06044581,3 x 22kW Charger,"Shopping, Dining, Brewery, Public Toilets",NO,,https://www.plugshare.com/location/413448,3.0,145.06044581000003,-37.94125805999994
KILLARNEY,Barwon South West,Basalt Wines,-38.33950575,,"Basalt Wines, 1131 Princes Highway, KILLARNEY VIC 3283","1 x Type 2, 1 x CCS2",142.32751728,1 x 22kW Charger,"Dining, Winery",NO,,https://www.plugshare.com/location/371287,1.0,142.32751728000005,-38.339505749999944
Tullamarine,Port Phillip,EON Charge,-37.68733321,31 December 2023,"URBNSURF, 309 Melrose Drive, TULLAMARINE VIC 3045","1 x CCS2, 1 x CHAdeMO",144.8684592,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/583242,1.0,144.86845920000007,-37.68733320999996
Werribee,Port Phillip,Wyndham City Council,-37.89691375,31/07/2023,"Community Centre, 45 Princes Highway, WERRIBEE VIC 3030","1 x CCS2, 1 x CHAdeMO",144.67061783,2 x 50kW Fast Charger,"Park, Public Toilets, Playground, Off-Leash Dog Park, Dining",NO,,,2.0,144.67061783000008,-37.89691374999995
Werribee,Port Phillip,Wyndham City Council,-37.9017665,12/06/2023,"22 Synnot Street, WERRIBEE VIC 3030",2 x Type 2,144.66236246,2 x 22kW Charger,"Park, Public Toilets, Playground, Dining, Shopping, Supermarket",NO,Wyndham City Council,https://www.plugshare.com/location/478545,2.0,144.66236246000005,-37.90176649999995
Heyfield,Gippsland,Wellington Shire Council,-37.97996616,31 October 2023,"9-11 George Street, HEYFIELD VIC 3858","1 x CCS2, 1 x CHAdeMO",146.78644557,1 x 50kW Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping, Recreation Reserve, Wetlands",NO,Wellington Shire Council,https://www.plugshare.com/location/554682,1.0,146.78677407400005,-37.980215311999984
Portsea,Port Phillip,The Trustee for Colonial & Empire Brewing Trust,-38.31956348,16 October 2023,"Portsea Hotel, 3746 Point Nepean Road, PORTSEA VIC 3944","1 x CCS2, 1 x CHAdeMO",144.71461705,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation, Recreation Reserve, Walking Trail",NO,Portsea Hotel,https://www.plugshare.com/location/553441,1.0,144.71461705000002,-38.31956347999994
Fitzroy North,Port Phillip,Yarra City Council,-37.783447,December 2024,"Piedimonte's Supermarket - 37/49A Best St, Fitzroy North VIC 3068",4 x CCS2,144.98337,2 x 75kW Charger,"Park, Playground, Public Toilets, Shopping, Dining",NO,Yarra City Council,https://www.plugshare.com/location/650422,2.0,144.98321351200002,-37.78344702299995
Colac,Barwon South West,Evie Networks,-38.34053226,February 2024,"9-29 Bromfield Street, COLAC VIC 3250","1 x CCS2, 1 x CHAdeMO",143.58567897,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/616110,1.0,143.58567897000012,-38.340532259999975
Healesville,Port Phillip,Evie Networks,-37.65321089,31/07/2023,"80 River St Parking Lot, HEALESVILLE VIC 3777","1 x CCS2, 1 x CHAdeMO",145.51560956,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation, Gin Distillery",NO,Evie Networks,https://www.plugshare.com/location/537625,1.0,145.51560956000003,-37.65321088999997
Portland,Barwon South West,Evie Networks,-38.34646,January 2024,"29 Henty Street, PORTLAND VIC 3305","1 x CCS2, 1 x CHAdeMO",141.60165,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Botanic Gardens, Museum, Lighthouse, Accommodation, Supermarket, Dining, Shopping",NO,Evie Networks,https://www.plugshare.com/location/484850,1.0,141.6026476930001,-38.34630977299997
Port Fairy,Barwon South West,Evie Networks,-38.3838,30 November 2023,"5 Bank Street, PORT FAIRY VIC 3284","1 x CCS2, 1 x CHAdeMO",142.23847,1 x 50kW Fast Charger,"Park, Public Toilets, Playground, Museum, Riverfront Walking Trail, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/484849,1.0,142.23848642100006,-38.38376731799997
Mansfield,Hume,Evie Networks,-37.050841,February 2024,"Early Street Carpark, MANSFIELD VIC 3722","1 x CCS2, 1 x CHAdeMO",146.086749,1 x 50kW Fast Charger,"Park, Playground, Recreation Reserve, Dining, Shopping, Botanic Gardens, Accommodation, Supermarket",NO,,https://www.plugshare.com/location/544018,1.0,146.08706655600008,-37.050855439999964
Bendigo,Loddon Mallee,Evie Networks,-36.7635,February 2024,"Target Carpark - 29 Edward Street, BENDIGO VIC 3550",2 x CCS2,144.27932,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Public Toilets, Lookout, Art Gallery, Museum, Conservatory Gardens, Shopping, Aquatic Centre, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/602381,1.0,144.27932680800006,-36.763440714999945
Rosebud,Port Phillip,Rosebud RSL,-38.36804386,19/05/2023,"Rosebud RSL Car Park, 113-123 Eastbourne Road, ROSEBUD VIC 3939","2 x CCS2, 2 x CHAdeMO",144.90477381,2 x 24kW Charger,"Park, Playground, Public Toilets, Accommodation",NO,Rosebud RSL,https://www.plugshare.com/location/471733,2.0,144.90477381000005,-38.36804385999994
Mordialloc,Port Phillip,Kingston City Council,-38.00842473,31 December 2023,"Peter Scullin Reserve, MORDIALLOC VIC 3195","1 x CCS2, 1 x CHAdeMO",145.08457112,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping",NO,Kingston City Council,https://www.plugshare.com/location/553581,1.0,145.08457112000008,-38.008424729999945
Hepburn Springs,Grampians,Chargefox Pty Ltd,-37.31135182,31/07/2023,"Hepburn Mineral Springs Reserve, HEPBURN SPRINGS VIC 3461","1 x CCS2, 1 x CHAdeMO",144.14269197,1 x 50kW Fast Charger,"Accommodation, Natural Springs, Dining, Reserve",NO,Chargefox,https://www.plugshare.com/location/542936,1.0,144.1426919700001,-37.31135181999997
Creswick,Grampians,Chargefox Pty Ltd,-37.42232446,31/07/2023,"Creswick Information Centre, 41/43 Albert Street, CRESWICK VIC 3363","1 x CCS2, 1 x CHAdeMO",143.89439912,1 x 50kW Fast Charger,"Visitor Information Centre, Park, Playground, Public Toilets, Accommodation, Dining, Museum, Water Park",NO,Chargefox Pty Ltd,https://www.plugshare.com/location/479587,1.0,143.89439912000012,-37.42232445999997
Yackandandah,Hume,Totally Renewable Yackandandah,-36.31379577,,"16A Windham Street, YACKANDANDAH VIC 3739","1 x CCS2, 1 x CHAdeMO",146.83871195,1 x 50kW Fast Charger,"Visitor Information Centre, Park, Playground, Public Toilets, Dining, Supermarket, Accommodation",NO,Totally Renewable Yackandandah,https://www.plugshare.com/location/454995,1.0,146.83871195000006,-36.313795769999956
Cowes,Gippsland,Evie Networks,-38.45053,September 2024,"63 Chapel St, COWES VIC 3922","1 x CCS2, 1 x CHAdeMO",145.240412,1 x 75kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Dog Beach, Picnic Area, Leisure Centre, Dining, Shopping, Recreation Reserve, Supermarket",NO,,https://www.plugshare.com/location/632741,1.0,145.24026273200002,-38.45047986399993
Hawthorn,Port Phillip,Boroondara City Council,-37.821098,28 February 2024,"Hawthorn Aquatic and Leisure Centre, 1 Grace St, HAWTHORN VIC 3122","1 x CCS2, 1 x CHAdeMO",145.035004,1 x 50kW Fast Charger,"Swimming Pool, Oval, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/553583,1.0,145.0350121040001,-37.820988125999975
Tabilk,Hume,Tahbilk Winery,-36.827175,,"142 Mulberry Drive, TABILK VIC 3608",2 x Type 2,145.086375,2 x 22kW Charger,Winery,NO,Tahbilk Winery,https://www.plugshare.com/location/456154,2.0,145.08632623100004,-36.826783416999945
Alexandra,Hume,Evie Networks,-37.191984,31/07/2023,8-10 Webster Street ALEXANDRA VIC 3714,"1 x CCS2, 1 x CHAdeMO",145.711134,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation",NO,,https://www.plugshare.com/location/535987,1.0,145.71113400000002,-37.191983999999934
Ararat,Grampians,Evie Networks,-37.28189448,31 August 2023,"15 Collings St, ARARAT VIC 3377","1 x CCS2, 1 x CHAdeMO",142.92971491,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Museum, Dining, Shopping, Accommodation, Art Gallery, Shopping, Supermarket",NO,Evie Networks,https://www.plugshare.com/location/307063,1.0,142.92971491000003,-37.28189448499995
Bairnsdale,Gippsland,Evie Networks,-37.82365165,,"9 Francis Street, BAIRNSDALE VIC 3875","1 x CCS2, 1 x CHAdeMO",147.62959413,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, River Walk Trail, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/476504,1.0,147.6295941300001,-37.82365164799995
Beaufort,Grampians,Evie Networks,-37.42879917,31/07/2023,"Number One Carpark, 19 Willoby St, Beaufort VIC 3373","1 x CCS2, 1 x CHAdeMO",143.38302026,1 x 50kW Fast Charger,"Park, Public Toilets, Dining, Shopping, Accommodation",NO,,https://www.plugshare.com/location/532106,1.0,143.38302026400004,-37.428799168999944
Beechworth,Hume,Evie Networks,-36.3581827,31 August 2023,"Loch Street Car Park, 26 Loch Street, BEECHWORTH VIC 3747","1 x CCS2, 1 x CHAdeMO",146.68702361,1 x 50kW Fast Charger,"Park, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Visitor Information Centre, Museum",NO,Evie Networks,https://www.plugshare.com/location/557864,1.0,146.68702360600003,-36.35818269599997
